Model,Avg_R2,Avg_RMSE,Avg_MAE,Avg_MAPE,Total_Train_Time,Params,Composite
CNN-LSTM,-633.13155,608.1187500000001,605.37875,66.08,85.94,56065,-633.13155
BiLSTM,-2078.6673375,182.17624999999998,174.21375,258.47125,148.55,315969,-2078.6673375
TCN,-2729.2559749999996,672.90625,670.3825,295.15375,51.57,46209,-2729.2559749999996
LSTM,-7252.081325,182.32875,175.93875,482.4275,96.16,125249,-7252.081325
GRU,-44629.375374999996,165.195,159.11249999999998,1163.09625,86.7,95041,-44629.375374999996
Transformer,-91803.88133749999,224.42,206.94875,1562.895,61.58,44929,-91803.88133749999
