epoch,loss,val_loss,mae,val_mae
1,4.325444221496582,3.080764055252075,8.493924140930176,6.01456356048584
2,2.4976065158843994,0.804352343082428,4.8438520431518555,1.444440484046936
3,0.5533095598220825,0.7600799202919006,0.9189315438270569,1.3738036155700684
4,0.4669787585735321,0.5653131008148193,0.7600185871124268,0.9917864203453064
5,0.45735064148902893,0.45492756366729736,0.7693967819213867,0.7888479232788086
6,0.4528736174106598,0.3473481833934784,0.7784977555274963,0.5718557834625244
7,0.43799832463264465,0.3743268847465515,0.762155294418335,0.6374499797821045
8,0.41615650057792664,0.3150698244571686,0.7357227206230164,0.5301064848899841
9,0.4022211730480194,0.33839544653892517,0.7210932374000549,0.5897707939147949
10,0.38750097155570984,0.37049418687820435,0.7072902321815491,0.6860426664352417
11,0.37696200609207153,0.33481425046920776,0.6975182890892029,0.6190917491912842
12,0.3865273594856262,0.3039032816886902,0.7311658263206482,0.5689369440078735
13,0.3622719943523407,0.29433730244636536,0.6836967468261719,0.5637336373329163
14,0.3657367527484894,0.34875622391700745,0.7093004584312439,0.6760138273239136
15,0.33986276388168335,0.3005918264389038,0.6610634326934814,0.58949875831604
16,0.37366703152656555,0.2990816831588745,0.7419532537460327,0.5946469902992249
17,0.3567865490913391,0.3406754434108734,0.7112860679626465,0.687015950679779
18,0.34118497371673584,0.33783164620399475,0.6907967329025269,0.7013609409332275
19,0.3354528248310089,0.3225362300872803,0.684627115726471,0.678295910358429
20,0.33180496096611023,0.307290256023407,0.6803944706916809,0.6535882949829102
21,0.32912883162498474,0.31944382190704346,0.6795035600662231,0.6816891431808472
22,0.33793702721595764,0.2935880422592163,0.7031283974647522,0.6305422782897949
23,0.33104756474494934,0.3000515401363373,0.6930164694786072,0.6542024612426758
24,0.306599497795105,0.31981244683265686,0.6516054272651672,0.6975780129432678
25,0.3172059655189514,0.2791629135608673,0.6758327484130859,0.6170021295547485
26,0.3178878426551819,0.2553216516971588,0.6820179224014282,0.5688122510910034
27,0.31104546785354614,0.28011104464530945,0.6696118712425232,0.6237803101539612
28,0.311425119638443,0.2560492157936096,0.678419291973114,0.5791524052619934
29,0.30006343126296997,0.3413026034832001,0.6571264266967773,0.755856990814209
30,0.29819437861442566,0.3158271908760071,0.6593999862670898,0.7123039364814758
31,0.29273316264152527,0.3317025601863861,0.6435725688934326,0.7459983229637146
32,0.2919788062572479,0.361381471157074,0.6524369120597839,0.8004003763198853
33,0.29256054759025574,0.33221060037612915,0.650331437587738,0.7493227124214172
34,0.28682494163513184,0.3568335473537445,0.6422825455665588,0.8069213032722473
35,0.29609742760658264,0.39784422516822815,0.6684010028839111,0.8830624222755432
36,0.2811298370361328,0.34936797618865967,0.637101948261261,0.79603111743927
37,0.2796264588832855,0.3400423228740692,0.6391757726669312,0.7823627591133118
38,0.27015042304992676,0.387620747089386,0.6178265810012817,0.879645586013794
39,0.27845892310142517,0.40179774165153503,0.6394866704940796,0.9137068390846252
40,0.2653855085372925,0.36801254749298096,0.6183342337608337,0.8460336923599243
41,0.2750612199306488,0.3459130823612213,0.6406883597373962,0.8019046187400818
42,0.26564711332321167,0.3802288770675659,0.6171948909759521,0.8814015984535217
43,0.25515466928482056,0.3498551845550537,0.6010960936546326,0.8194666504859924
44,0.2695609927177429,0.3962979018688202,0.6378774046897888,0.9125578999519348
45,0.25231751799583435,0.39885035157203674,0.604284942150116,0.922112226486206
46,0.25339609384536743,0.3563655912876129,0.6045622229576111,0.8340878486633301
47,0.2625175416469574,0.36873483657836914,0.6259794235229492,0.8556098937988281
48,0.26378607749938965,0.3595689535140991,0.6265342831611633,0.8410406112670898
49,0.2776840925216675,0.3703514635562897,0.6625385284423828,0.8666086792945862
50,0.25902825593948364,0.3461778163909912,0.621965229511261,0.8298868536949158
51,0.2696651220321655,0.35544249415397644,0.64791339635849,0.8398871421813965
52,0.2594011723995209,0.3648392856121063,0.626681923866272,0.8549437522888184
53,0.2544894218444824,0.3702235221862793,0.6159749627113342,0.8640168309211731
54,0.24417449533939362,0.37159907817840576,0.5910612940788269,0.8668309450149536
55,0.2643757164478302,0.36749061942100525,0.6345207095146179,0.8584455847740173
56,0.2454780638217926,0.35625749826431274,0.5993512272834778,0.8360173106193542
57,0.27092716097831726,0.36502283811569214,0.651890754699707,0.860458493232727
58,0.25468435883522034,0.37076589465141296,0.6174300909042358,0.8616896867752075
59,0.24892818927764893,0.335232138633728,0.6123997569084167,0.8068184852600098
60,0.2556634247303009,0.3600475490093231,0.6234773993492126,0.8565249443054199
61,0.25223544239997864,0.3181345462799072,0.6209313273429871,0.7741478681564331
62,0.25483348965644836,0.31270572543144226,0.6215066909790039,0.755314290523529
63,0.24212412536144257,0.303631067276001,0.5967068076133728,0.7399103045463562
64,0.24581092596054077,0.31692415475845337,0.6016879081726074,0.7711561918258667
65,0.2435164600610733,0.3157767951488495,0.5993504524230957,0.7715768218040466
66,0.2425714135169983,0.32835832238197327,0.597275972366333,0.8025006651878357
