epoch,loss,val_loss
1,1.9620661735534668,0.8426331281661987
2,1.2155758142471313,0.9264113903045654
3,1.0900721549987793,0.8045253157615662
4,1.0457783937454224,0.7693889141082764
5,0.9961028695106506,0.7088137865066528
6,0.9788482785224915,0.7363144159317017
7,0.9470762610435486,0.7719389200210571
8,0.9936121702194214,0.6890575289726257
9,0.9268086552619934,0.7053421139717102
10,0.9125280976295471,0.733873188495636
11,0.9083170294761658,0.6143801212310791
12,0.8574815988540649,0.7590795159339905
13,0.8540862798690796,0.6975719928741455
14,0.8806732892990112,0.6575594544410706
15,0.8548131585121155,0.6708067655563354
16,0.8367921710014343,0.7159914970397949
17,0.8526505827903748,0.7388028502464294
18,0.8327465653419495,0.6070169806480408
19,0.8050124049186707,0.6057895421981812
20,0.8179305791854858,0.6808944940567017
21,0.7886641621589661,0.6406978368759155
22,0.8099363446235657,0.7081019282341003
23,0.7665074467658997,0.653053343296051
24,0.8170551657676697,0.5854902267456055
25,0.7917757630348206,0.7003641724586487
26,0.7989880442619324,0.6584729552268982
27,0.7852813601493835,0.7364653944969177
28,0.7785423994064331,0.5173081755638123
29,0.7912745475769043,0.7093746662139893
30,0.7535117864608765,0.6985371112823486
31,0.7578151226043701,0.5323039889335632
32,0.7522863745689392,0.6024375557899475
33,0.7594303488731384,0.6447332501411438
34,0.7842757105827332,0.7281473278999329
35,0.7329368591308594,0.7087815999984741
36,0.7420652508735657,0.7018405795097351
37,0.7727208733558655,0.5507502555847168
38,0.7721077799797058,0.6479142308235168
39,0.7624908685684204,0.6994888186454773
40,0.737736165523529,0.500966489315033
41,0.7111760973930359,0.6989942193031311
42,0.7381513714790344,0.5690572261810303
43,0.7566527128219604,0.6470231413841248
44,0.7309008836746216,0.5916152596473694
45,0.7357004880905151,0.6358246207237244
46,0.7123852372169495,0.6100431680679321
47,0.7225465178489685,0.6268625855445862
48,0.7439010143280029,0.5663089752197266
49,0.7009690999984741,0.5807964205741882
50,0.7086787819862366,0.5817528963088989
51,0.7013940215110779,0.6520293354988098
52,0.7170384526252747,0.6017598509788513
53,0.6761970520019531,0.5478188991546631
54,0.70127272605896,0.6134851574897766
55,0.7011513710021973,0.5805548429489136
56,0.705163300037384,0.5650272369384766
57,0.6707369685173035,0.5210293531417847
58,0.7003251910209656,0.5927021503448486
59,0.7010106444358826,0.5933277606964111
60,0.7013922333717346,0.6049625277519226
61,0.6747292876243591,0.5587090849876404
62,0.7171237468719482,0.6052757501602173
63,0.706990659236908,0.6258929967880249
64,0.7031893134117126,0.5905713438987732
65,0.6760797500610352,0.6309393048286438
66,0.6655538082122803,0.47391173243522644
67,0.6786373257637024,0.5305784344673157
68,0.701738715171814,0.5943131446838379
69,0.674767017364502,0.5529189705848694
70,0.697507381439209,0.5900418162345886
71,0.7075647115707397,0.5790010690689087
72,0.7001988291740417,0.5920473337173462
73,0.6637920141220093,0.5776289105415344
74,0.6988157629966736,0.5807971358299255
75,0.6781073808670044,0.5473208427429199
76,0.7131524085998535,0.604363739490509
77,0.6663718819618225,0.579868733882904
78,0.6861703395843506,0.590710461139679
79,0.7057846188545227,0.605022132396698
80,0.6925115585327148,0.5970762968063354
81,0.6738681793212891,0.5783992409706116
82,0.6730504035949707,0.6161603927612305
83,0.6783237457275391,0.5795410871505737
84,0.7072874903678894,0.5653082728385925
85,0.6725329756736755,0.5756469368934631
86,0.6756291389465332,0.5920296311378479
87,0.6808357834815979,0.5862500071525574
88,0.6543381810188293,0.5499913692474365
